system_prompt,pattern_text,assistant_reply,expected_counts,actual_counts,is_all_sentences_correct
"你是一位嚴格遵守字數的作詞助手。輸入的 text 會包含多個句子，每句之間以「。」分隔，每句前面會用 [N characters] 表示該句必須有 N 個繁體中文字。規則：
1. 將每一個 [N characters] 替換成恰好 N 個有意義的繁體中文字。
2. 保留所有原本的「。」與句子的順序，不可新增或刪除句子。
3. 不得輸出方括號、英文、數字，只能輸出繁體中文字和原本的「。」。
4. 在輸出前，你必須逐句數字，確認每句中文字數等於指定的 N，若不符就修改到正確再輸出。
5. 請直接輸出結果，不要解釋。",[7 characters]。[6 characters]。[6 characters]。[6 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters]。[7 characters]。[7 characters]。[4 characters]。[7 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters],月光灑滿故鄉路。風吹枯葉聲響。夢裡尋舊影子。淚濕青衫舊袖。星河在夜裡低語。孤影跟隨心事中。燈火微閃爍。歸人仍未至。長街回音般搖曳。歲月藏不住傷痕。孤舟獨行。誰在彼岸輕呼喊。歲暮梧桐葉落下。歌聲飄過舊街角。等你終歸來。夢已漸遠去。,"7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5","7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5",True
"你是一位嚴格遵守字數的作詞助手。輸入的 text 會包含多個句子，每句之間以「。」分隔，每句前面會用 [N characters] 表示該句必須有 N 個繁體中文字。規則：
1. 將每一個 [N characters] 替換成恰好 N 個有意義的繁體中文字。
2. 保留所有原本的「。」與句子的順序，不可新增或刪除句子。
3. 不得輸出方括號、英文、數字，只能輸出繁體中文字和原本的「。」。
4. 在輸出前，你必須逐句數字，確認每句中文字數等於指定的 N，若不符就修改到正確再輸出。
5. 請直接輸出結果，不要解釋。",[7 characters]。[6 characters]。[6 characters]。[6 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters]。[7 characters]。[7 characters]。[4 characters]。[7 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters],夜色在窗外低語。心事慢慢流動。燈光搖曳不定。歲月像歌輕唱。你笑容融化我心。回憶在夜裡流淌。風帶來思念。月光撒柔情。時間總偷走誓言。夢裡依然見你影。我在等你。風聲像歌輕輕唱。曖昧在唇邊停留。世界為我們安靜。願時光慢行。陪你到天明。,"7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5","7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5",True
"你是一位嚴格遵守字數的作詞助手。輸入的 text 會包含多個句子，每句之間以「。」分隔，每句前面會用 [N characters] 表示該句必須有 N 個繁體中文字。規則：
1. 將每一個 [N characters] 替換成恰好 N 個有意義的繁體中文字。
2. 保留所有原本的「。」與句子的順序，不可新增或刪除句子。
3. 不得輸出方括號、英文、數字，只能輸出繁體中文字和原本的「。」。
4. 在輸出前，你必須逐句數字，確認每句中文字數等於指定的 N，若不符就修改到正確再輸出。
5. 請直接輸出結果，不要解釋。",[7 characters]。[6 characters]。[6 characters]。[6 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters]。[7 characters]。[7 characters]。[4 characters]。[7 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters],夜雨靜敲窗臺邊。燈火照舊孤單。你的影子搖曳。風聲默默低吟。心事沉入深夜海。月光悄撫過舊夢。窗外有遠山。誰在那深處。低語像潮水般回。思念在夜裡緩放。誰又能懂。舊照片邊緣泛黃。指尖仍留有餘溫。夢裡花開再次落。時間終不回。我學會放手。,"7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5","7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5",True
"你是一位嚴格遵守字數的作詞助手。輸入的 text 會包含多個句子，每句之間以「。」分隔，每句前面會用 [N characters] 表示該句必須有 N 個繁體中文字。規則：
1. 將每一個 [N characters] 替換成恰好 N 個有意義的繁體中文字。
2. 保留所有原本的「。」與句子的順序，不可新增或刪除句子。
3. 不得輸出方括號、英文、數字，只能輸出繁體中文字和原本的「。」。
4. 在輸出前，你必須逐句數字，確認每句中文字數等於指定的 N，若不符就修改到正確再輸出。
5. 請直接輸出結果，不要解釋。",[7 characters]。[6 characters]。[6 characters]。[6 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters]。[7 characters]。[7 characters]。[4 characters]。[7 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters],夜空微光如詩歌。風吹過舊巷間。影子拉長夢裡。心事悄悄語聲。月光灑滿窗台上。舊歌輕輕唱起來。你曾來過嗎。我還記得呢。時間慢慢流走了。燈影搖曳不定啊。淚光閃爍。回憶像潮汐湧來。誰在窗邊聽風聲。願你平安如初啊。讓夢延續吧。明天還好嗎。,"7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5","7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5",True
"你是一位嚴格遵守字數的作詞助手。輸入的 text 會包含多個句子，每句之間以「。」分隔，每句前面會用 [N characters] 表示該句必須有 N 個繁體中文字。規則：
1. 將每一個 [N characters] 替換成恰好 N 個有意義的繁體中文字。
2. 保留所有原本的「。」與句子的順序，不可新增或刪除句子。
3. 不得輸出方括號、英文、數字，只能輸出繁體中文字和原本的「。」。
4. 在輸出前，你必須逐句數字，確認每句中文字數等於指定的 N，若不符就修改到正確再輸出。
5. 請直接輸出結果，不要解釋。",[7 characters]。[6 characters]。[6 characters]。[6 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters]。[7 characters]。[7 characters]。[4 characters]。[7 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters],夜色輕柔吹過心。月光映在窗前。潮汐帶走想念。風鈴搖曳思緒。夢裡花開為誰笑。步履輕盈踏月光。聲聲入我耳。歲月如歌長。光影交織成回憶。心事藏在匣子裡。夜還未央。等待晨曦帶來光。頹廢也曾美麗過。淚水隨風輕輕落。回憶成了灰。重新再出發。,"7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5","7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5",True
"你是一位嚴格遵守字數的作詞助手。輸入的 text 會包含多個句子，每句之間以「。」分隔，每句前面會用 [N characters] 表示該句必須有 N 個繁體中文字。規則：
1. 將每一個 [N characters] 替換成恰好 N 個有意義的繁體中文字。
2. 保留所有原本的「。」與句子的順序，不可新增或刪除句子。
3. 不得輸出方括號、英文、數字，只能輸出繁體中文字和原本的「。」。
4. 在輸出前，你必須逐句數字，確認每句中文字數等於指定的 N，若不符就修改到正確再輸出。
5. 請直接輸出結果，不要解釋。",[7 characters]。[6 characters]。[6 characters]。[6 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters]。[7 characters]。[7 characters]。[4 characters]。[7 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters],夜裡的星光閃爍。風輕輕吹過了。思念充滿心頭。你在夢裡笑了。時間輕聲慢慢走。我在窗邊等你呢。月光很溫柔。心跳還響起。為你唱這首歌吧。願成你的依靠吧。別離開我。讓時間慢慢停留。把寂寞都留給夜。我的心只為你跳。一起走下去。永遠不放手。,"7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5","7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5",True
"你是一位嚴格遵守字數的作詞助手。輸入的 text 會包含多個句子，每句之間以「。」分隔，每句前面會用 [N characters] 表示該句必須有 N 個繁體中文字。規則：
1. 將每一個 [N characters] 替換成恰好 N 個有意義的繁體中文字。
2. 保留所有原本的「。」與句子的順序，不可新增或刪除句子。
3. 不得輸出方括號、英文、數字，只能輸出繁體中文字和原本的「。」。
4. 在輸出前，你必須逐句數字，確認每句中文字數等於指定的 N，若不符就修改到正確再輸出。
5. 請直接輸出結果，不要解釋。",[7 characters]。[6 characters]。[6 characters]。[6 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters]。[7 characters]。[7 characters]。[4 characters]。[7 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters],夜風吹過窗櫺間。月光灑滿床前。回憶仍在心頭。思念如潮湧起。你笑容溫暖我的。夢裡我們相聚了。時間停住了。星光微弱了。耳邊傳來低語聲。輕輕把我呼喚吧。不孤單了。手心溫度依舊在。夢醒時淚悄然落。窗外天色已明了。我還守候著。直到永遠吧。,"7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5","7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5",True
"你是一位嚴格遵守字數的作詞助手。輸入的 text 會包含多個句子，每句之間以「。」分隔，每句前面會用 [N characters] 表示該句必須有 N 個繁體中文字。規則：
1. 將每一個 [N characters] 替換成恰好 N 個有意義的繁體中文字。
2. 保留所有原本的「。」與句子的順序，不可新增或刪除句子。
3. 不得輸出方括號、英文、數字，只能輸出繁體中文字和原本的「。」。
4. 在輸出前，你必須逐句數字，確認每句中文字數等於指定的 N，若不符就修改到正確再輸出。
5. 請直接輸出結果，不要解釋。",[7 characters]。[6 characters]。[6 characters]。[6 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters]。[7 characters]。[7 characters]。[4 characters]。[7 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters],夜裡星光悄然落。風輕拂過窗檯。你在夢裡微笑。夜色柔和溫暖。心事悄藏在胸口。月光靜穿過樹影。鐘聲遠遠響。回憶慢慢堆。夜風攜帶海的味。沿著街燈走回家。門輕輕掩。你的影子佔了窗。我把夜色收進心。夢裡你緊握我手。微呼吸相連。天光慢慢亮。,"7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5","7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5",True
"你是一位嚴格遵守字數的作詞助手。輸入的 text 會包含多個句子，每句之間以「。」分隔，每句前面會用 [N characters] 表示該句必須有 N 個繁體中文字。規則：
1. 將每一個 [N characters] 替換成恰好 N 個有意義的繁體中文字。
2. 保留所有原本的「。」與句子的順序，不可新增或刪除句子。
3. 不得輸出方括號、英文、數字，只能輸出繁體中文字和原本的「。」。
4. 在輸出前，你必須逐句數字，確認每句中文字數等於指定的 N，若不符就修改到正確再輸出。
5. 請直接輸出結果，不要解釋。",[7 characters]。[6 characters]。[6 characters]。[6 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters]。[7 characters]。[7 characters]。[4 characters]。[7 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters],夜色流轉心事語。風中燈火閃爍。夢裡潮聲細語。月下影子拉長。孤燈未眠思念長。窗外雨絲輕敲窗。誰在遠方呢。等待回聲來。牽絆像風不見形。思念刻在衣袖裡。夢醒時分。卻依然留香在心。回憶堆積成城牆。我在原地等風來。願時光慢些。陪你到白頭。,"7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5","7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5",True
"你是一位嚴格遵守字數的作詞助手。輸入的 text 會包含多個句子，每句之間以「。」分隔，每句前面會用 [N characters] 表示該句必須有 N 個繁體中文字。規則：
1. 將每一個 [N characters] 替換成恰好 N 個有意義的繁體中文字。
2. 保留所有原本的「。」與句子的順序，不可新增或刪除句子。
3. 不得輸出方括號、英文、數字，只能輸出繁體中文字和原本的「。」。
4. 在輸出前，你必須逐句數字，確認每句中文字數等於指定的 N，若不符就修改到正確再輸出。
5. 請直接輸出結果，不要解釋。",[7 characters]。[6 characters]。[6 characters]。[6 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters]。[7 characters]。[7 characters]。[4 characters]。[7 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters],夜風輕拂窗前影。燈火映夢中人。魚兒滑過水面。時間悄然流去。思念漫過心湖面。歌聲在夜裡飄搖。燦爛星光閃。守候破曉時。你我曾在此相遇。微笑像春風溫柔。等待黎明。回憶堆成山丘上。心語寫在紙短長。雨滴敲打窗台聲。願望悄悄說。明天更溫柔。,"7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5","7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5",True
"你是一位嚴格遵守字數的作詞助手。輸入的 text 會包含多個句子，每句之間以「。」分隔，每句前面會用 [N characters] 表示該句必須有 N 個繁體中文字。規則：
1. 將每一個 [N characters] 替換成恰好 N 個有意義的繁體中文字。
2. 保留所有原本的「。」與句子的順序，不可新增或刪除句子。
3. 不得輸出方括號、英文、數字，只能輸出繁體中文字和原本的「。」。
4. 在輸出前，你必須逐句數字，確認每句中文字數等於指定的 N，若不符就修改到正確再輸出。
5. 請直接輸出結果，不要解釋。",[7 characters]。[6 characters]。[6 characters]。[6 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters]。[7 characters]。[7 characters]。[4 characters]。[7 characters]。[7 characters]。[7 characters]。[5 characters]。[5 characters],夜風吹過窗邊的。月光灑滿枕邊。我把思念收藏。等待破曉微光。心事像雨輕敲窗。回憶在夜裡發酵。誰在耳邊呢。燈光還亮著。時間悄悄偷走夢。城市沉睡呼吸慢。我還在等。可是不見你的臉。風裡有你的歌聲。像潮水反覆湧上。我輕聲哼著。等待有你來。,"7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5","7,6,6,6,7,7,5,5,7,7,4,7,7,7,5,5",True
